"run","kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","U_S_babble","U_S_base","U_S_star","U_R_babble","U_R_base","U_R_star","bias_kind","low","high","jitter","seed","elapsed_s"
1,"babble",29961,1,0.0,0.0,0.0,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.02605379105079919
1,"binned",29961,2,0.005755749996751547,0.01197554194368422,0.012158375000581145,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.09572112502064556
1,"binned",29961,3,0.007149207987822592,0.011066291015595198,0.01165312493685633,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.16533712507225573
1,"binned",29961,5,0.008436250034719706,0.011317417025566101,0.012121333042159677,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.24355729098897427
1,"binned",29961,8,0.009025292005389929,0.011445041978731751,0.012166749918833375,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.3162681250832975
1,"binned",29961,12,0.009635083028115332,0.011670707957819104,0.011527625028975308,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.388845541048795
1,"binned",29961,18,0.010073084034956992,0.012062833062373102,0.011416416033171117,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.4622503330465406
1,"binned",29961,27,0.010214875102974474,0.012116624973714352,0.012267334037460387,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.5429835410322994
1,"binned",29961,41,0.010308417025953531,0.01319424994289875,0.01111608394421637,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.6173773750197142
1,"binned",29961,62,0.01060208398848772,0.013831916963681579,0.011594625073485076,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.6928100000368431
1,"binned",29961,93,0.010590209043584764,0.014837833005003631,0.011315332958474755,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.7693208330310881
1,"binned",29961,140,0.010445166029967368,0.017384583014063537,0.013364624930545688,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.8535250830464065
1,"binned",29961,210,0.01045912504196167,0.01937029103282839,0.011519292020238936,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,0.9344923330936581
1,"binned",29961,315,0.010491584078408778,0.02318237500730902,0.011692583910189569,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.0198398750508204
1,"binned",29961,473,0.010644832975231111,0.028150207945145667,0.011591624934226274,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.1124214580049738
1,"binned",29961,710,0.012507334002293646,0.03760041599161923,0.012018291978165507,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.2144305830588564
1,"binned",29961,1065,0.011241958942264318,0.0506494160508737,0.011608291999436915,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.327175125014037
1,"binned",29961,1598,0.011235833982937038,0.06930187495891005,0.013238584040664136,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.4620384580921382
1,"binned",29961,2397,0.011683915974572301,0.09606050001457334,0.01187345793005079,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.62198629102204
1,"binned",29961,3596,0.012199415941722691,0.14179766702000052,0.011352165951393545,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,1.8276233330834657
1,"binned",29961,5394,0.013142999960109591,0.19991387496702373,0.011546000023372471,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,2.092979875043966
1,"binned",29961,8091,0.014522291021421552,0.28320004197303206,0.010983583051711321,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,2.441120999981649
1,"binned",29961,12137,0.015599083970300853,0.41390654200222343,0.01199741696473211,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,2.9231226660776883
1,"binned",29961,18206,0.01840295793954283,0.6067507090047002,0.011664083926007152,1,1,-86587.33111262541,-86587.33111262541,-86587.33111262541,-242520.58981765158,-242520.58981765158,-242520.58981765158,"random_multilevel",0.0,0.5,0.0,124,3.6027002499904484
