"run","kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
1,"babble",29961,1,0.0,0.0,0.0,1,1,13475.943194713294,13475.943194713294,13475.943194713294,114397,114397,114397,"random_multilevel","down",0.15,0.85,0.0,124,0.04804499994497746
1,"binned",29961,2,0.005881958059035242,0.008325499948114157,0.04376312508247793,1,1,13475.943194713294,13475.943194713294,13475.943194713294,114397,114397,114397,"random_multilevel","down",0.15,0.85,0.0,124,0.18305350001901388
1,"binned",29961,3,0.00760891695972532,0.011924791033379734,0.07057558302767575,2,2,13475.943194713294,25483.78536145799,25483.78536145799,114397,44214,44214,"random_multilevel","down",0.15,0.85,0.0,124,0.3485505839344114
1,"binned",29961,5,0.009182916022837162,0.01424254197627306,0.10712558298837394,3,3,13475.943194713294,26098.85878779807,26098.85878779807,114397,41835,41835,"random_multilevel","down",0.15,0.85,0.0,124,0.5557352920295671
1,"binned",29961,8,0.009682332980446517,0.018470583017915487,0.15798924991395324,4,4,13475.943194713294,27208.761030639005,27208.761030639005,114397,45797,45797,"random_multilevel","down",0.15,0.85,0.0,124,0.8172876249300316
1,"binned",29961,12,0.010214540991000831,0.02145779097918421,0.27713520789984614,6,6,13475.943194713294,26932.12385688552,26932.12385688552,114397,43063,43063,"random_multilevel","down",0.15,0.85,0.0,124,1.2016327499877661
1,"binned",29961,18,0.010412999894469976,0.02500662498641759,0.5243201659759507,9,8,13475.943194713294,25752.199886523005,27129.383919631746,114397,39224,45117,"random_multilevel","down",0.15,0.85,0.0,124,1.8357034999644384
1,"binned",29961,27,0.010655959020368755,0.050944415968842804,1.2005378749454394,14,11,13475.943194713294,24908.025432214232,26959.167345304253,114397,37595,45551,"random_multilevel","down",0.15,0.85,0.0,124,3.1720591249177232
1,"binned",29961,41,0.010779875097796321,0.07309487496968359,2.5784297920763493,21,17,13475.943194713294,23878.500901141535,27150.597556905614,114397,35593,45119,"random_multilevel","down",0.15,0.85,0.0,124,5.908372208941728
1,"binned",29961,62,0.010876915999688208,0.10087924997787923,6.161205250071362,32,25,13475.943194713294,23994.17799212346,27185.001435151396,114397,35402,45308,"random_multilevel","down",0.15,0.85,0.0,124,12.258356874925084
1,"binned",29961,93,0.010913291946053505,0.15848708292469382,12.508849833044223,47,36,13475.943194713294,24811.610773646727,27215.114645217473,114397,37213,45758,"random_multilevel","down",0.15,0.85,0.0,124,25.015322666964494
1,"binned",29961,140,0.010791209060698748,0.21870104200206697,27.53295345895458,70,55,13475.943194713294,24815.151224884965,27155.676289967487,114397,37252,45291,"random_multilevel","down",0.15,0.85,0.0,124,52.844670708989725
1,"binned",29961,210,0.011159749934449792,0.32048537500668317,63.448493457981385,106,80,13475.943194713294,24856.22128028846,27215.05440224304,114397,37187,45759,"random_multilevel","down",0.15,0.85,0.0,124,116.6940099169733
1,"binned",29961,315,0.011834166944026947,0.4833479579538107,146.3534979580436,158,120,13475.943194713294,24007.23673319549,27234.582404379067,114397,35448,45769,"random_multilevel","down",0.15,0.85,0.0,124,263.6115154590225
1,"binned",29961,473,0.012328249984420836,0.7082343329675496,327.10724087490235,238,180,13475.943194713294,23994.40918496773,27225.107402710284,114397,35384,45736,"random_multilevel","down",0.15,0.85,0.0,124,591.5164959999966
1,"binned",29961,710,0.016742500010877848,1.2196458330145106,863.7559218331007,357,269,13475.943194713294,24001.436052333054,27225.454776049854,114397,35394,45756,"random_multilevel","down",0.15,0.85,0.0,124,1456.5909259170294
2,"babble",29961,1,0.0,0.0,0.0,1,1,17918.81903744747,17918.81903744747,17918.81903744747,115271,115271,115271,"random_multilevel","down",0.15,0.85,0.0,125,1456.801387958927
3,"babble",29961,1,0.0,0.0,0.0,1,1,18238.821807622975,18238.821807622975,18238.821807622975,161728,161728,161728,"random_multilevel","down",0.15,0.85,0.0,126,1456.8554407500196
4,"babble",29961,1,0.0,0.0,0.0,1,1,20792.295240638152,20792.295240638152,20792.295240638152,159034,159034,159034,"random_multilevel","down",0.15,0.85,0.0,127,1456.9020887089428
5,"babble",29961,1,0.0,0.0,0.0,1,1,18542.7827581603,18542.7827581603,18542.7827581603,133453,133453,133453,"random_multilevel","down",0.15,0.85,0.0,128,1456.957629667013
