prior,bias_level,utility_babbling,utility_maxinfo
uniform,0.0,1.0,1.0
uniform,0.1,1.0,1.0
uniform,0.2,1.0,1.0
uniform,0.3,1.0,1.0
uniform,0.4,1.0,1.0
uniform,0.5,0.0,0.9997852233676975
uniform,0.6,0.0,0.9548969072164943
uniform,0.7,0.0,0.8324742268041231
uniform,0.8,0.0,0.6198453608247418
uniform,0.9,0.0,0.3382731958762883
uniform,1.0,0.0,0.0
pareto,0.0,1.0,1.0
pareto,0.1,0.0,0.9379474056986332
pareto,0.2,0.0,0.7026204186405904
pareto,0.3,0.0,0.5364090132749665
pareto,0.4,0.0,0.4297636950047644
pareto,0.5,0.0,0.3562152134009783
pareto,0.6,0.0,0.3098386039677569
pareto,0.7,0.0,0.2520814094899957
pareto,0.8,0.0,0.17156304492315538
pareto,0.9,0.0,0.17156304492315538
pareto,1.0,0.0,0.0
exponential,0.0,1.0,1.0
exponential,0.1,1.0,1.0
exponential,0.2,0.0,0.9993304396706826
exponential,0.3,0.0,0.8931619451889239
exponential,0.4,0.0,0.6999078014154961
exponential,0.5,0.0,0.5177213647490184
exponential,0.6,0.0,0.36085432101184967
exponential,0.7,0.0,0.23282188300350154
exponential,0.8,0.0,0.13588462571227705
exponential,0.9,0.0,0.0976072943345005
exponential,1.0,0.0,0.0
