"kind","n","bin_size","bins_count","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star"
"binned",29961,14980,2,0.05333675001747906,0.14205208292696625,1,1,7446.3194379547485,7446.3194379547485,7446.3194379547485,14921,14921,14921
"binned",29961,5992,5,0.12945408304221928,0.13443175004795194,1,1,7446.3194379547485,7446.3194379547485,7446.3194379547485,14921,14921,14921
"binned",29961,2140,14,0.6043759589083493,0.25472887500654906,3,3,7446.3194379547485,9453.3016821307,9453.3016821307,14921,17081,17081
"binned",29961,1033,29,1.1087050409987569,0.5710176669526845,6,6,7446.3194379547485,9829.11905079765,9829.11905079765,14921,17527,17527
"binned",29961,507,59,2.2583643330726773,1.7561788338935003,12,12,7446.3194379547485,9980.131867031527,9980.131867031527,14921,17711,17711
