"timestamp","col","level","bins","items","resolution","time_alg1_s","num_edges_alg1","time_alg2_s","time_alg4_s","time_alg24_s","num_merges_alg2","q_base_groups","q_star_bins_groups","utility_item","kept_items","error"
"2025-10-09 16:52:16","MerchantID",0,1,1130,0.0008849557522123894,9.165996743831784e-06,0,2.749999111983925e-06,0.00011245800124015659,0.00011524999717948958,0,1,1,63.0,377,""
"2025-10-09 16:52:16","MerchantID",1,2,1130,0.0017699115044247787,1.1749994882848114e-05,0,2.5000044843181968e-06,5.991700163576752e-05,6.245900294743478e-05,1,1,1,63.0,377,""
"2025-10-09 16:52:16","MerchantID",2,4,1130,0.0035398230088495575,1.6375000996049494e-05,3,3.258300421293825e-05,5.424999835668132e-05,8.687499939696863e-05,3,1,1,63.0,377,""
"2025-10-09 16:52:16","MerchantID",3,8,1130,0.007079646017699115,3.0083007004577667e-05,18,0.00014016700151842088,5.3499999921768904e-05,0.00019375000556465238,7,1,1,63.0,377,""
"2025-10-09 16:52:17","MerchantID",4,16,1130,0.01415929203539823,8.425000123679638e-05,80,2.9374998121056706e-05,0.001258749995031394,0.0012881669972557575,0,16,5,456.89655172413785,636,""
"2025-10-09 16:52:17","MerchantID",5,32,1130,0.02831858407079646,0.0002952499999082647,340,6.370800110744312e-05,0.006877832995087374,0.006941583000298124,0,32,11,485.71087533156475,707,""
"2025-10-09 16:52:17","MerchantID",6,64,1130,0.05663716814159292,0.0011619579963735305,1388,0.00025683300191303715,0.04625287499948172,0.04650983300234657,0,64,21,492.3076923076922,725,""
"2025-10-09 16:52:17","MerchantID",7,128,1130,0.11327433628318584,0.004822333001357038,5628,0.0008390420043724589,0.34003929100435926,0.34087837500555906,0,128,43,498.6180371352785,743,""
"2025-10-09 16:52:20","MerchantID",8,256,1130,0.22654867256637168,0.01752416700037429,22642,0.003306999999040272,2.6287313329958124,2.6320383329948527,0,256,87,501.6657824933687,752,""
"2025-10-09 16:52:41","MerchantID",9,512,1130,0.45309734513274336,0.06999183299922151,90780,0.013936624993220903,20.625728125000023,20.639664790993265,0,512,173,174.62245800176836,192,""
"2025-10-09 16:55:23","MerchantID",10,1024,1130,0.9061946902654867,0.27894633400137536,363544,0.05770837500313064,161.09866754199902,161.1563760420031,0,1024,345,176.45181255526086,194,""
"2025-10-09 16:59:04","MerchantID",11,1130,1130,1.0,0.3390832919976674,442553,0.07838833399728173,219.2393957919994,219.31778416699672,0,1130,377,549.1237842617153,942,""
