"n","candidate_levels_count","best_levels_json","probs_json","utility_q_babble","utility_q_base","utility_q_star","delta_base","delta_star","kept_q_babble","kept_q_base","kept_q_star","q_base_groups","q_star_groups","merges_alg2","num_edges_alg1_first","time_alg1_first_s","time_alg2_s","time_alg4_s","time_alg24_s"
12,10,"[0.5384615384615384, 0.5384615384615384, 0.38461538461538464, 0.23076923076923078]","[0.25, 0.25, 0.25, 0.25]",1.076923076923077,5.538461538461539,5.76923076923077,4.461538461538462,4.692307692307693,3,9,10,5,3,7,48,4.883299698121846e-05,0.0004056249890709296,0.0001227080065291375,0.0005283329956000671
13,10,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855]","[0.25, 0.25, 0.25, 0.25]",0.7142857142857142,5.0,6.071428571428571,4.285714285714286,5.357142857142857,2,7,10,10,4,3,67,5.691600381396711e-05,0.00028291599301155657,0.00043841700244229287,0.0007213329954538494
14,10,"[0.5333333333333333, 0.5333333333333333, 0.4666666666666667, 0.13333333333333333]","[0.25, 0.25, 0.25, 0.25]",1.7333333333333332,6.8,6.8,5.066666666666666,5.066666666666666,5,12,12,3,3,11,70,6.937500438652933e-05,0.0007274169911397621,5.937500100117177e-05,0.0007867919921409339
15,10,"[0.5625, 0.5625, 0.5625, 0.25]","[0.25, 0.25, 0.25, 0.25]",1.5625,6.875,7.125,5.3125,5.5625,5,11,12,6,4,9,82,7.199999527074397e-05,0.0007839580066502094,0.0001854579895734787,0.0009694159962236881
16,10,"[0.6470588235294118, 0.6470588235294118, 0.5294117647058824, 0.5294117647058824]","[0.25, 0.25, 0.25, 0.25]",0.0,6.352941176470588,6.764705882352941,6.352941176470588,6.764705882352941,0,9,10,9,7,7,106,8.137499389704317e-05,0.0007312500092666596,0.0003860830038320273,0.001117333013098687
17,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,6.5,6.944444444444445,6.5,6.944444444444445,0,9,10,10,8,7,121,9.470900113228709e-05,0.000839707994600758,0.0004631670017261058,0.0013028749963268638
18,10,"[0.7368421052631579, 0.631578947368421, 0.631578947368421, 0.5263157894736842]","[0.25, 0.25, 0.25, 0.25]",0.0,7.105263157894736,7.526315789473683,7.105263157894736,7.526315789473683,0,10,11,11,9,7,133,9.750000026542693e-05,0.000894374999916181,0.0005671660037478432,0.0014615410036640242
19,10,"[0.55, 0.55, 0.55, 0.35]","[0.25, 0.25, 0.25, 0.25]",1.1,9.2,9.2,8.1,8.1,2,16,16,4,4,15,163,0.00010666700836736709,0.0016091249999590218,8.983400766737759e-05,0.0016989590076263994
20,10,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855]","[0.25, 0.25, 0.25, 0.25]",1.0952380952380951,9.000000000000002,9.523809523809526,7.904761904761907,8.42857142857143,3,14,16,9,5,11,171,0.00011729200195986778,0.0015277920028893277,0.0004072919982718304,0.001935084001161158
21,10,"[0.6363636363636364, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]","[0.25, 0.25, 0.25, 0.25]",0.0,8.0,9.227272727272727,8.0,9.227272727272727,0,11,14,14,8,7,192,0.0001282500015804544,0.0012153749994467944,0.0010025000083260238,0.002217875007772818
22,10,"[0.6521739130434783, 0.5652173913043478, 0.5652173913043478, 0.5652173913043478]","[0.25, 0.25, 0.25, 0.25]",0.0,8.130434782608695,9.434782608695652,8.130434782608695,9.434782608695652,0,11,14,15,9,7,211,0.00013983299140818417,0.0013725000026170164,0.0011921249970328063,0.0025646249996498227
23,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5416666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,9.208333333333334,9.625,9.208333333333334,9.625,0,13,14,12,10,11,229,0.0001524580002296716,0.002038083999650553,0.0007566249987576157,0.0027947089984081686
24,10,"[0.76, 0.76, 0.76, 0.56]","[0.25, 0.25, 0.25, 0.25]",0.0,7.799999999999998,7.799999999999998,7.799999999999998,7.799999999999998,0,10,10,15,15,9,233,0.00016445800429210067,0.0019222910050302744,0.0011443749972386286,0.003066666002268903
25,10,"[0.6538461538461539, 0.6538461538461539, 0.5384615384615384, 0.5384615384615384]","[0.25, 0.25, 0.25, 0.25]",0.0,9.961538461538462,10.76923076923077,9.961538461538462,10.76923076923077,0,14,16,14,10,11,267,0.0001822090125642717,0.002398583004833199,0.0010898750042542815,0.0034884580090874806
26,10,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,10.11111111111111,10.962962962962962,10.11111111111111,10.962962962962962,0,14,16,15,11,11,307,0.00019645800057332963,0.0026676669949665666,0.0012764580023940653,0.003944124997360632
27,10,"[0.8571428571428571, 0.5357142857142857, 0.5357142857142857, 0.5357142857142857]","[0.25, 0.25, 0.25, 0.25]",0.0,9.214285714285715,13.285714285714286,9.214285714285715,13.285714285714286,0,12,24,27,4,0,342,0.00021112500689923763,0.0002812080056173727,0.004694584000390023,0.004975792006007396
28,10,"[0.6551724137931034, 0.6551724137931034, 0.6551724137931034, 0.5517241379310345]","[0.25, 0.25, 0.25, 0.25]",0.0,10.862068965517242,12.10344827586207,10.862068965517242,12.10344827586207,0,15,18,17,11,11,350,0.00022466600057668984,0.0031426670029759407,0.0018352079932810739,0.004977874996257015
29,10,"[0.6666666666666666, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667]","[0.25, 0.25, 0.25, 0.25]",0.0,10.999999999999998,12.299999999999999,10.999999999999998,12.299999999999999,0,15,18,18,12,11,360,0.00024533299438189715,0.0035037500056205317,0.0020962080016033724,0.005599958007223904
30,10,"[0.6451612903225806, 0.5483870967741935, 0.5483870967741935, 0.3548387096774194]","[0.25, 0.25, 0.25, 0.25]",2.161290322580645,12.870967741935484,13.225806451612904,10.70967741935484,11.06451612903226,6,19,20,13,11,17,361,0.0002565419999882579,0.004926916997646913,0.0010022920032497495,0.0059292090008966625
31,10,"[0.65625, 0.65625, 0.65625, 0.5625]","[0.25, 0.25, 0.25, 0.25]",0.0,11.75,13.4375,11.75,13.4375,0,16,20,20,12,11,414,0.00027041599969379604,0.00385895800718572,0.0025981250073527917,0.006457083014538512
32,10,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.12121212121212122]","[0.25, 0.25, 0.25, 0.25]",1.9393939393939394,15.696969696969699,15.696969696969699,13.75757575757576,13.75757575757576,4,28,28,5,5,27,442,0.00030433300707954913,0.00748537499748636,0.0001756249985191971,0.0076609999960055575
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.1750002158805728e-05,1.1500000255182385e-05,2.2167005226947367e-05,3.366700548212975e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.54099858365953e-06,8.750008419156075e-06,3.5667006159201264e-05,4.441701457835734e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.499999578110874e-06,1.3291995855979621e-05,5.654200504068285e-05,6.983400089666247e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.2042000889778137e-05,2.8750000637955964e-05,5.07910008309409e-05,7.954100146889687e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.666600292082876e-05,7.095900946296751e-05,3.7417004932649434e-05,0.00010837601439561695
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,1.9583007087931037e-05,8.625000191386789e-05,5.716699524782598e-05,0.00014341699716169387
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.429200685583055e-05,0.00011116699897684157,9.575000149197876e-05,0.00020691700046882033
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,2.9041999368928373e-05,0.00013324999599717557,0.0001328750076936558,0.00026612500369083136
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.387501055840403e-05,0.00016500000492669642,0.00018204099615104496,0.0003470410010777414
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.2792006600648165e-05,1.1958007235080004e-05,2.28749995585531e-05,3.48330067936331e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.2910112319514155e-06,8.999995770864189e-06,3.729200398083776e-05,4.629199975170195e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.708994184620678e-06,1.3083001249469817e-05,5.754099402111024e-05,7.062399527058005e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.2832999345846474e-05,3.0291004804894328e-05,5.6333999964408576e-05,8.66250047693029e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.5416997484862804e-05,6.620900239795446e-05,3.5541001125238836e-05,0.0001017500035231933
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,2.0916995708830655e-05,9.22499893931672e-05,5.8833000366576016e-05,0.00015108298975974321
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.3916989448480308e-05,0.00011170801008120179,9.587500244379044e-05,0.00020758301252499223
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,2.9666000045835972e-05,0.00013775000115856528,0.0001361659960821271,0.0002739159972406924
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.520799509715289e-05,0.0001669589983066544,0.0001879579940577969,0.0003549169923644513
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.0167001164518297e-05,1.083301322069019e-05,1.979200169444084e-05,3.062501491513103e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.250003934837878e-06,8.584000170230865e-06,3.620899224188179e-05,4.479299241211265e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.249997674487531e-06,1.1874988558702171e-05,5.458299710880965e-05,6.645798566751182e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.2417003745213151e-05,2.9457994969561696e-05,5.0000002374872565e-05,7.945799734443426e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.6584002878516912e-05,7.079199713189155e-05,3.7999998312443495e-05,0.00010879199544433504
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,1.895899185910821e-05,8.708400127943605e-05,6.037499406374991e-05,0.00014745899534318596
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.4499997380189598e-05,0.00011133399675600231,9.583299106452614e-05,0.00020716698782052845
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,2.849999873433262e-05,0.0001320830051554367,0.00013820799358654767,0.00027029099874198437
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.458400897216052e-05,0.00016091599536594003,0.00018191699928138405,0.0003428329946473241
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.029198756441474e-05,1.0332994861528277e-05,2.058300015050918e-05,3.0915995012037456e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.332993507385254e-06,8.41599830891937e-06,3.6541998269967735e-05,4.4957996578887105e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.12499672267586e-06,1.2624994269572198e-05,5.75829908484593e-05,7.02079851180315e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.2041986337862909e-05,2.9000002541579306e-05,5.091700586490333e-05,7.991700840648264e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.575000351294875e-05,6.720901001244783e-05,3.600001218728721e-05,0.00010320902219973505
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,2.024999412242323e-05,8.925001020543277e-05,5.9833997511304915e-05,0.0001490840077167377
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.4082997697405517e-05,0.00011141700088046491,9.67499945545569e-05,0.00020816699543502182
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,2.89169984171167e-05,0.00013216699881013483,0.0001326670026173815,0.00026483400142751634
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.408400516491383e-05,0.00016108299314510077,0.00018354199710302055,0.0003446249902481213
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.0332994861528277e-05,1.0750009096227586e-05,2.0666993805207312e-05,3.14170029014349e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.332993507385254e-06,8.542003342881799e-06,3.5707998904399574e-05,4.425000224728137e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.374998626299202e-06,1.2666991096921265e-05,5.483400309458375e-05,6.750099419150501e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.2124990462325513e-05,2.8833004762418568e-05,5.041698750574142e-05,7.924999226815999e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.5583005733788013e-05,6.766700244043022e-05,3.708299482241273e-05,0.00010474999726284295
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,2.0499996026046574e-05,9.095799759961665e-05,6.079199374653399e-05,0.00015174999134615064
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.441700780764222e-05,0.00011166700278408825,9.937499999068677e-05,0.00021104200277477503
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,2.912498894147575e-05,0.00013275000674184412,0.00013166700955480337,0.0002644170162966475
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.4374999813735485e-05,0.0001638329995330423,0.0001824589999159798,0.0003462919994490221
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.3832992408424616e-05,1.2165997759439051e-05,2.2249994799494743e-05,3.4415992558933794e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.209011189639568e-06,8.54101381264627e-06,3.500000457279384e-05,4.354101838544011e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.625000529922545e-06,1.2834003427997231e-05,5.658400186803192e-05,6.941800529602915e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.1083000572398305e-05,2.7959002181887627e-05,5.0457994802854955e-05,7.841699698474258e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.562500256113708e-05,6.649999704677612e-05,3.6083991290070117e-05,0.00010258398833684623
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,1.95419997908175e-05,8.679101301822811e-05,7.379200542345643e-05,0.00016058301844168454
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.433398913126439e-05,0.00011087500024586916,9.679098729975522e-05,0.00020766598754562438
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,2.9834001907147467e-05,0.00013624998973682523,0.00013604199921246618,0.0002722919889492914
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.3791991882026196e-05,0.0001610000035725534,0.00018179199832957238,0.0003427920019021258
11,10,"[0.5833333333333334, 0.5833333333333334, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]",1.1666666666666667,5.0,5.0,3.833333333333333,3.833333333333333,3,8,8,4,4,7,41,3.9582999306730926e-05,0.0003214169992133975,6.954200216569006e-05,0.00039095900137908757
12,10,"[0.5384615384615384, 0.5384615384615384, 0.38461538461538464, 0.23076923076923078]","[0.25, 0.25, 0.25, 0.25]",1.076923076923077,5.538461538461539,5.76923076923077,4.461538461538462,4.692307692307693,3,9,10,5,3,7,48,4.720801371149719e-05,0.00039087500772438943,0.000113290996523574,0.0005041660042479634
13,10,"[0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.42857142857142855]","[0.25, 0.25, 0.25, 0.25]",0.7142857142857142,5.0,6.071428571428571,4.285714285714286,5.357142857142857,2,7,10,10,4,3,67,5.358300404623151e-05,0.00026658299611881375,0.0004143750120420009,0.0006809580081608146
14,10,"[0.5333333333333333, 0.5333333333333333, 0.4666666666666667, 0.13333333333333333]","[0.25, 0.25, 0.25, 0.25]",1.7333333333333332,6.8,6.8,5.066666666666666,5.066666666666666,5,12,12,3,3,11,70,6.166700040921569e-05,0.0006739590025972575,5.245799547992647e-05,0.000726416998077184
15,10,"[0.5625, 0.5625, 0.5625, 0.25]","[0.25, 0.25, 0.25, 0.25]",1.5625,6.875,7.125,5.3125,5.5625,5,11,12,6,4,9,82,7.300000288523734e-05,0.0007186670118244365,0.00016916599997784942,0.0008878330118022859
16,10,"[0.6470588235294118, 0.6470588235294118, 0.5294117647058824, 0.5294117647058824]","[0.25, 0.25, 0.25, 0.25]",0.0,6.352941176470588,6.764705882352941,6.352941176470588,6.764705882352941,0,9,10,9,7,7,106,8.399999933317304e-05,0.0007217919919639826,0.000378249998902902,0.0011000419908668846
17,10,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.5555555555555556]","[0.25, 0.25, 0.25, 0.25]",0.0,6.5,6.944444444444445,6.5,6.944444444444445,0,9,10,10,8,7,121,8.62079905346036e-05,0.0008020419918466359,0.0004538329958450049,0.0012558749876916409
18,10,"[0.7368421052631579, 0.631578947368421, 0.631578947368421, 0.5263157894736842]","[0.25, 0.25, 0.25, 0.25]",0.0,7.105263157894736,7.526315789473683,7.105263157894736,7.526315789473683,0,10,11,11,9,7,133,9.691699233371764e-05,0.0008916670049075037,0.0005705420044250786,0.0014622090093325824
