"n","candidate_levels_count","best_levels_json","probs_json","utility_q_babble","utility_q_base","utility_q_star","delta_base","delta_star","kept_q_babble","kept_q_base","kept_q_star","q_base_groups","q_star_groups","merges_alg2","num_edges_alg1_first","time_alg1_first_s","time_alg2_s","time_alg4_s","time_alg24_s"
2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.25, 0.25, 0.25, 0.25]",0.0,0.0,0.0,0.0,0.0,0,0,0,2,2,0,1,1.1916999937966466e-05,1.1333002476021647e-05,2.204100019298494e-05,3.3374002669006586e-05
3,3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.75,1.25,0.75,1.25,0,1,2,3,2,0,2,6.208007107488811e-06,8.917006198316813e-06,3.5416989703662694e-05,4.4333995901979506e-05
4,4,"[0.8, 0.8, 0.6, 0.6]","[0.25, 0.25, 0.25, 0.25]",0.0,0.8,1.4,0.8,1.4,0,1,2,4,3,0,6,9.791998309083283e-06,1.345800410490483e-05,5.987500480841845e-05,7.333300891332328e-05
5,5,"[0.6666666666666666, 0.5, 0.5, 0.3333333333333333]","[0.25, 0.25, 0.25, 0.25]",0.0,1.5,1.5,1.5,1.5,0,2,2,4,4,1,6,1.2999997125007212e-05,3.091699909418821e-05,5.445799615699798e-05,8.537499525118619e-05
6,6,"[0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285]","[0.25, 0.25, 0.25, 0.25]",0.5714285714285714,2.571428571428571,2.571428571428571,1.9999999999999998,1.9999999999999998,1,4,4,3,3,3,11,1.6332996892742813e-05,6.837501132395118e-05,3.6874989746138453e-05,0.00010525000107008964
7,7,"[0.625, 0.625, 0.625, 0.5]","[0.25, 0.25, 0.25, 0.25]",0.0,2.75,2.75,2.75,2.75,0,4,4,4,4,3,20,2.1208004909567535e-05,9.287499415222555e-05,6.208299600984901e-05,0.00015495799016207457
8,8,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444]","[0.25, 0.25, 0.25, 0.25]",0.4444444444444444,3.333333333333333,3.6666666666666665,2.8888888888888884,3.2222222222222223,1,5,6,5,3,3,27,2.4958004360087216e-05,0.0001272089866688475,0.00010516699694562703,0.00023237598361447453
9,9,"[0.6, 0.6, 0.5, 0.2]","[0.25, 0.25, 0.25, 0.25]",0.1,3.5000000000000004,3.9000000000000004,3.4000000000000004,3.8000000000000003,1,5,6,6,4,3,30,3.47500026691705e-05,0.00013629200111608952,0.0001401250046910718,0.00027641700580716133
10,10,"[0.6363636363636364, 0.6363636363636364, 0.5454545454545454, 0.2727272727272727]","[0.25, 0.25, 0.25, 0.25]",0.0,3.6363636363636362,4.090909090909091,3.6363636363636362,4.090909090909091,0,5,6,7,5,3,39,3.5249991924501956e-05,0.00018112499674316496,0.00019729099585674703,0.000378415992599912
11,10,"[0.5833333333333334, 0.5833333333333334, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]",1.1666666666666667,5.0,5.0,3.833333333333333,3.833333333333333,3,8,8,4,4,7,41,4.8125002649612725e-05,0.00035179199767298996,7.558301149401814e-05,0.0004273750091670081
