"n","domain_size","candidate_levels_count","best_levels_json","best_delta","utility_babble","utility_base","qbase_groups","merges_alg2","time_alg1_first_s","num_edges_alg1","time_alg2_s"
23,23,10,"[0.9583333333333334, 0.6666666666666666, 0.5416666666666666, 0.5416666666666666]",7.708333333333333,0.0,7.708333333333333,21,2,0.0001490840077167377,209,0.0005881670076632872
24,24,10,"[0.76, 0.64, 0.56, 0.56]",7.799999999999998,0.0,7.799999999999998,23,1,0.00016379199223592877,245,0.0004368329973658547
25,25,10,"[0.6538461538461539, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384]",8.461538461538462,0.0,8.461538461538462,25,0,0.00017549999756738544,288,0.00023745899670757353
26,26,10,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]",8.555555555555555,0.0,8.555555555555555,25,1,0.00019854100537486374,307,0.0005199580045882612
27,27,10,"[0.8571428571428571, 0.5357142857142857, 0.5357142857142857, 0.5357142857142857]",9.214285714285715,0.0,9.214285714285715,27,0,0.00020524999126791954,342,0.00028383299650158733
28,28,10,"[0.8620689655172413, 0.5517241379310345, 0.5517241379310345, 0.5517241379310345]",9.310344827586208,0.0,9.310344827586208,27,1,0.00022129100398160517,333,0.0005848339933436364
29,29,10,"[0.6666666666666666, 0.6666666666666666, 0.5666666666666667, 0.5666666666666667]",9.399999999999999,0.0,9.399999999999999,27,2,0.0002356670011067763,352,0.0009236670011887327
30,30,10,"[0.6451612903225806, 0.5483870967741935, 0.5483870967741935, 0.5483870967741935]",10.064516129032258,0.0,10.064516129032258,30,0,0.00025150000874418765,405,0.0003402500005904585
31,31,10,"[0.65625, 0.5625, 0.5625, 0.5625]",10.15625,0.0,10.15625,31,0,0.00026641700242180377,438,0.0003639999922597781
32,32,10,"[0.6666666666666666, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]",10.818181818181818,0.0,10.818181818181818,31,1,0.0002859999949578196,480,0.0007717919943388551
33,33,10,"[0.6470588235294118, 0.6470588235294118, 0.5588235294117647, 0.5588235294117647]",10.91176470588235,0.0,10.91176470588235,32,1,0.0003015830006916076,480,0.0007950420113047585
34,34,10,"[0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428]",11.571428571428568,0.0,11.571428571428568,34,0,0.00031975000456441194,561,0.0004411249974509701
35,35,10,"[0.6666666666666666, 0.5555555555555556, 0.5555555555555556, 0.027777777777777776]",11.666666666666668,2.611111111111111,14.277777777777779,34,1,0.0003430840006330982,435,0.0008674580021761358
36,36,10,"[0.5405405405405406, 0.5405405405405406, 0.5405405405405406, 0.5405405405405406]",12.324324324324323,0.0,12.324324324324323,36,0,0.0003593339934013784,630,0.0004897080070804805
37,37,10,"[0.5526315789473685, 0.5526315789473685, 0.5526315789473685, 0.5526315789473685]",12.42105263157895,0.0,12.42105263157895,37,0,0.0003952080005547032,666,0.0005365840042941272
38,38,10,"[0.6666666666666666, 0.6666666666666666, 0.5641025641025641, 0.5641025641025641]",12.512820512820507,0.0,12.512820512820507,38,0,0.0003955410065827891,627,0.0005265420040814206
39,39,10,"[0.65, 0.65, 0.55, 0.55]",13.174999999999999,0.0,13.174999999999999,38,1,0.0004199999966658652,677,0.0011094169894931838
40,40,10,"[0.7560975609756098, 0.5609756097560976, 0.5609756097560976, 0.5609756097560976]",13.26829268292683,0.0,13.26829268292683,39,1,0.00043808299233205616,688,0.0011527090100571513
41,41,10,"[0.7619047619047619, 0.5476190476190477, 0.5476190476190477, 0.5476190476190477]",13.928571428571423,0.0,13.928571428571423,40,1,0.00045929101179353893,730,0.0012089169904356822
42,42,10,"[0.5581395348837209, 0.5581395348837209, 0.5581395348837209, 0.5581395348837209]",14.023255813953481,0.0,14.023255813953481,42,0,0.0004811249964404851,861,0.0006626250105910003
43,43,10,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]",14.681818181818182,0.0,14.681818181818182,43,0,0.0005171250086277723,903,0.0006843750015832484
44,44,10,"[0.7555555555555555, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]",14.777777777777771,0.0,14.777777777777771,43,1,0.000530417004483752,847,0.0013886250089854002
45,45,10,"[0.5434782608695652, 0.5434782608695652, 0.5434782608695652, 0.5434782608695652]",15.434782608695654,0.0,15.434782608695654,45,0,0.0005514170043170452,990,0.0007735840044915676
46,46,10,"[0.5531914893617021, 0.5531914893617021, 0.5531914893617021, 0.5531914893617021]",15.53191489361702,0.0,15.53191489361702,46,0,0.0005749160045525059,1035,0.0007796249992679805
47,47,10,"[0.6666666666666666, 0.5625, 0.5625, 0.5625]",15.625,0.0,15.625,47,0,0.0006127499946160242,1031,0.0008086669986369088
48,48,10,"[0.6530612244897959, 0.6530612244897959, 0.5510204081632653, 0.5510204081632653]",16.285714285714285,0.0,16.285714285714285,48,0,0.0006436249968828633,1013,0.0008678749873070046
49,49,10,"[0.66, 0.56, 0.56, 0.56]",16.38,0.0,16.38,48,1,0.0006518330046674237,1131,0.0017257090075872838
50,50,10,"[0.5490196078431373, 0.5490196078431373, 0.5490196078431373, 0.5490196078431373]",17.03921568627451,0.0,17.03921568627451,50,0,0.0006882919988129288,1225,0.0009237499907612801
51,51,10,"[0.5576923076923077, 0.5576923076923077, 0.5576923076923077, 0.5576923076923077]",17.134615384615383,0.0,17.134615384615383,51,0,0.0007142499962355942,1275,0.0009748329903231934
52,52,10,"[0.5471698113207547, 0.5471698113207547, 0.5471698113207547, 0.5471698113207547]",17.79245283018868,0.0,17.79245283018868,52,0,0.000745457989978604,1326,0.001014708002912812
