"n","domain_size","candidate_levels_count","best_levels_json","best_delta","utility_babble","utility_base","qbase_groups","merges_alg2","time_alg1_first_s","num_edges_alg1","time_alg2_s"
2,2,2,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",0.0,0.0,0.0,2,0,1.2500007869675756e-05,1,1.533300383016467e-05
3,3,3,"[0.75, 0.75, 0.5, 0.25]",0.75,0.0,0.75,3,0,5.916997906751931e-06,2,8.875009370967746e-06
4,4,4,"[0.8, 0.8, 0.6, 0.6]",0.8,0.0,0.8,4,0,8.95900302566588e-06,6,1.2750009773299098e-05
5,5,5,"[0.6666666666666666, 0.5, 0.5, 0.5]",1.5,0.0,1.5,4,1,1.1041993275284767e-05,9,2.9999995604157448e-05
6,6,6,"[0.8571428571428571, 0.8571428571428571, 0.5714285714285714, 0.5714285714285714]",1.5714285714285714,0.0,1.5714285714285714,5,1,1.5999990864656866e-05,13,4.237500252202153e-05
7,7,7,"[0.75, 0.625, 0.5, 0.125]",2.25,0.0,2.25,5,2,1.837500894907862e-05,14,6.883298920001835e-05
8,8,8,"[0.8888888888888888, 0.6666666666666666, 0.5555555555555556, 0.3333333333333333]",2.333333333333333,0.8888888888888888,3.222222222222222,4,4,2.2958003683015704e-05,18,0.00012937501014675945
9,9,9,"[0.9, 0.6, 0.5, 0.5]",3.0000000000000004,0.0,3.0000000000000004,8,1,2.745899837464094e-05,29,7.295901014003903e-05
10,10,10,"[0.9090909090909091, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]",3.090909090909091,0.0,3.090909090909091,10,0,3.1917006708681583e-05,45,4.633399657905102e-05
11,11,10,"[0.9166666666666666, 0.5833333333333334, 0.5833333333333334, 0.5833333333333334]",3.1666666666666665,0.0,3.1666666666666665,11,0,3.91670037060976e-05,47,5.441700341179967e-05
12,12,10,"[0.9230769230769231, 0.9230769230769231, 0.5384615384615384, 0.5384615384615384]",3.8461538461538463,0.0,3.8461538461538463,11,1,4.5833003241568804e-05,51,0.00011991600331384689
13,13,10,"[0.9285714285714286, 0.9285714285714286, 0.7142857142857143, 0.5714285714285714]",3.9285714285714284,0.0,3.9285714285714284,12,1,5.141699512023479e-05,65,0.00013749999925494194
14,14,10,"[0.9333333333333333, 0.5333333333333333, 0.5333333333333333, 0.5333333333333333]",4.6,0.0,4.6,14,0,6.00829953327775e-05,73,8.091599738691002e-05
15,15,10,"[0.8125, 0.5625, 0.5625, 0.5625]",4.6875,0.0,4.6875,15,0,6.86249986756593e-05,93,9.433399827685207e-05
16,16,10,"[0.8235294117647058, 0.7647058823529411, 0.5294117647058824, 0.5294117647058824]",5.352941176470588,0.0,5.352941176470588,14,2,7.691700011491776e-05,93,0.0002938329998869449
17,17,10,"[0.8333333333333334, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]",5.444444444444445,0.0,5.444444444444445,17,0,8.787499973550439e-05,131,0.00012375001097097993
18,18,10,"[0.9473684210526315, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842]",6.105263157894736,0.0,6.105263157894736,18,0,9.545800276100636e-05,137,0.0001309159997617826
19,19,10,"[0.95, 0.55, 0.55, 0.55]",6.2,0.0,6.2,19,0,0.00010320800356566906,123,0.00013712501095142215
20,20,10,"[0.9523809523809523, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714]",6.2857142857142865,0.0,6.2857142857142865,19,1,0.0001170839968835935,158,0.00031799999123904854
21,21,10,"[0.8636363636363636, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454]",6.954545454545455,0.0,6.954545454545455,20,1,0.00012658300693146884,186,0.00033154200355056673
22,22,10,"[0.7391304347826086, 0.6521739130434783, 0.5652173913043478, 0.5652173913043478]",7.043478260869565,0.0,7.043478260869565,20,2,0.0001372920087305829,193,0.0005334589950507507
