timestamp,k_attrs,domain_size,time_alg1_first_s,num_edges_alg1,time_alg24_s,utility_q_star
Wed Feb 25 18:39:36 2026,1,3,0.0000,2,0.0001,-0.6431
Wed Feb 25 18:39:36 2026,2,30,0.0174,260,0.2899,-7.5997
