"kind","n","bin_size","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star"
"full",240,1,240,0.01720604201545939,3.2048340840265155,0.00016212501213885844,1,1,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,64,4,"",0.008393916999921203,0.00021975001436658204,2,2,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,48,5,"",0.010282500006724149,0.0002157079870812595,2,2,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,32,8,"",0.019936832977691665,0.0003003750171046704,3,3,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,24,10,"",0.025287625001510605,0.0004185000143479556,4,4,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,16,15,"",0.041901292017428204,0.00042974998359568417,4,4,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,12,20,"",0.05645729199750349,0.0007182909757830203,6,6,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,8,30,"",0.0931379159737844,0.0011083749996032566,8,8,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,6,40,"",0.04105866700410843,0.01666654198197648,33,33,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,4,60,"",0.08099883300019428,0.03447758301626891,48,48,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,3,80,"",0.06410983399837278,0.0847840839996934,74,74,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,2,120,"",0.050676916987868026,0.22664304199861363,118,118,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
"binned",240,1,240,"",0.1981275839789305,1.0001471250143368,237,237,89.14522821576764,89.14522821576764,89.14522821576764,132,132,132
