"run","kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
1,"babble",29961,1,0.0,0.0,0.0,1,1,13475.943194713294,13475.943194713294,13475.943194713294,114397,114397,114397,"random_multilevel","down",0.15,0.85,0.0,124,0.04746108397375792
1,"binned",29961,2,0.005510374961886555,0.008077125006821007,0.04452266701264307,1,1,13475.943194713294,13475.943194713294,13475.943194713294,114397,114397,114397,"random_multilevel","down",0.15,0.85,0.0,124,0.18122958397725597
1,"binned",29961,3,0.00738837500102818,0.011620290984865278,0.07097287505166605,2,2,13475.943194713294,25483.78536145799,25483.78536145799,114397,44214,44214,"random_multilevel","down",0.15,0.85,0.0,124,0.3472170840250328
1,"binned",29961,5,0.008815583016257733,0.014539290976244956,0.1072922499733977,3,3,13475.943194713294,26098.85878779807,26098.85878779807,114397,41835,41835,"random_multilevel","down",0.15,0.85,0.0,124,0.553500542009715
1,"binned",29961,8,0.009643708006478846,0.018590332998428494,0.15008241700707003,4,4,13475.943194713294,27208.761030639005,27208.761030639005,114397,45797,45797,"random_multilevel","down",0.15,0.85,0.0,124,0.8063808340230025
1,"binned",29961,12,0.010453249968122691,0.021185207995586097,0.2749581250245683,6,6,13475.943194713294,26932.12385688552,26932.12385688552,114397,43063,43063,"random_multilevel","down",0.15,0.85,0.0,124,1.18755566701293
1,"binned",29961,18,0.01039725000737235,0.025626791000831872,0.5402846659999341,9,8,13475.943194713294,25752.199886523005,27129.383919631746,114397,39224,45117,"random_multilevel","down",0.15,0.85,0.0,124,1.8389348749769852
1,"binned",29961,27,0.01061766705242917,0.051840708998497576,1.2198485419503413,14,11,13475.943194713294,24908.025432214232,26959.167345304253,114397,37595,45551,"random_multilevel","down",0.15,0.85,0.0,124,3.1957750840228982
1,"binned",29961,41,0.010828791942913085,0.07427141699008644,2.620290416991338,21,17,13475.943194713294,23878.500901141535,27150.597556905614,114397,35593,45119,"random_multilevel","down",0.15,0.85,0.0,124,5.976282208983321
1,"binned",29961,62,0.01089704199694097,0.10227345797466114,5.918094791006297,32,25,13475.943194713294,23994.17799212346,27185.001435151396,114397,35402,45308,"random_multilevel","down",0.15,0.85,0.0,124,12.082882250018883
1,"binned",29961,93,0.010847916011698544,0.1481621660059318,12.356754500011448,47,36,13475.943194713294,24811.610773646727,27215.114645217473,114397,37213,45758,"random_multilevel","down",0.15,0.85,0.0,124,24.674485374998767
1,"binned",29961,140,0.010777832998428494,0.21812195802340284,30.650946707988624,70,55,13475.943194713294,24815.151224884965,27155.676289967487,114397,37252,45291,"random_multilevel","down",0.15,0.85,0.0,124,55.65876191697316
1,"binned",29961,210,0.01439133402891457,0.3622219170210883,68.80695079197176,106,80,13475.943194713294,24856.22128028846,27215.05440224304,114397,37187,45759,"random_multilevel","down",0.15,0.85,0.0,124,124.965357167006
1,"binned",29961,315,0.013374875008594245,0.5254383750143461,145.5171567919897,158,120,13475.943194713294,24007.23673319549,27234.582404379067,114397,35448,45769,"random_multilevel","down",0.15,0.85,0.0,124,271.13917883398244
1,"binned",29961,473,0.03673208400141448,0.7472664169617929,325.01058487500995,238,180,13475.943194713294,23994.40918496773,27225.107402710284,114397,35384,45736,"random_multilevel","down",0.15,0.85,0.0,124,597.0066149589838
1,"binned",29961,710,0.011840916995424777,1.0572892499621958,726.2639880829956,357,269,13475.943194713294,24001.436052333054,27225.454776049854,114397,35394,45756,"random_multilevel","down",0.15,0.85,0.0,124,1324.4111972500104
2,"babble",29961,1,0.0,0.0,0.0,1,1,17918.81903744747,17918.81903744747,17918.81903744747,115271,115271,115271,"random_multilevel","down",0.15,0.85,0.0,125,1324.4826595839695
3,"babble",29961,1,0.0,0.0,0.0,1,1,18238.821807622975,18238.821807622975,18238.821807622975,161728,161728,161728,"random_multilevel","down",0.15,0.85,0.0,126,1324.5297342499834
4,"babble",29961,1,0.0,0.0,0.0,1,1,20792.295240638152,20792.295240638152,20792.295240638152,159034,159034,159034,"random_multilevel","down",0.15,0.85,0.0,127,1324.576247000019
5,"babble",29961,1,0.0,0.0,0.0,1,1,18542.7827581603,18542.7827581603,18542.7827581603,133453,133453,133453,"random_multilevel","down",0.15,0.85,0.0,128,1324.630343124969
