"run","kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
1,"babble",13233,1,0.0,0.0,0.0,1,1,1866.2998337615234,1866.2998337615234,1866.2998337615234,3791,3791,3791,"random_multilevel","down",0.15,0.85,0.0,124,0.016276958980597556
1,"binned",13233,2,0.0016333749517798424,0.002328000031411648,0.014013416017405689,1,1,1866.2998337615234,1866.2998337615234,1866.2998337615234,3791,3791,3791,"random_multilevel","down",0.15,0.85,0.0,124,0.05582479201257229
1,"binned",13233,3,0.0020577909890562296,0.003122208989225328,0.020742417022120208,2,2,1866.2998337615234,6783.003022517758,6783.003022517758,3791,10467,10467,"random_multilevel","down",0.15,0.85,0.0,124,0.110352833988145
1,"binned",13233,5,0.0024320000084117055,0.003907332953531295,0.03059420798672363,3,3,1866.2998337615234,7401.926023877887,7401.926023877887,3791,10841,10841,"random_multilevel","down",0.15,0.85,0.0,124,0.16856654197908938
1,"binned",13233,8,0.002667458029463887,0.005053874978329986,0.0426563749788329,4,4,1866.2998337615234,7338.396629892691,7338.396629892691,3791,11175,11175,"random_multilevel","down",0.15,0.85,0.0,124,0.246677124989219
1,"binned",13233,12,0.0028315410017967224,0.005989208002574742,0.07805775001179427,6,6,1866.2998337615234,7559.226311017073,7559.226311017073,3791,10977,10977,"random_multilevel","down",0.15,0.85,0.0,124,0.3560352500062436
1,"binned",13233,18,0.0030204160138964653,0.007557582983281463,0.1527969580492936,9,9,1866.2998337615234,7575.411364666762,7575.411364666762,3791,10737,10737,"random_multilevel","down",0.15,0.85,0.0,124,0.5421941250097007
1,"binned",13233,27,0.0030770410085096955,0.015510332945268601,0.3364856659900397,14,13,1866.2998337615234,7359.555236512013,7575.411364666762,3791,10334,10737,"random_multilevel","down",0.15,0.85,0.0,124,0.9252133339759894
1,"binned",13233,41,0.0030578330042771995,0.022193875047378242,0.7136634169728495,21,19,1866.2998337615234,7379.812755024929,7573.017152788272,3791,10351,10784,"random_multilevel","down",0.15,0.85,0.0,124,1.6853400839609094
1,"binned",13233,62,0.0030775420018471777,0.032753042003605515,1.52127341699088,31,28,1866.2998337615234,7371.688227293329,7588.828472117273,3791,10377,10857,"random_multilevel","down",0.15,0.85,0.0,124,3.2717354169581085
1,"binned",13233,93,0.0031990829738788307,0.046953000011853874,3.3287892090156674,46,41,1866.2998337615234,7397.132990781315,7608.777920507782,3791,10384,10965,"random_multilevel","down",0.15,0.85,0.0,124,6.6820100419572555
1,"binned",13233,140,0.004882542008999735,0.09860758302966133,7.5453496249974705,71,61,1866.2998337615234,7456.110019646362,7654.834214901012,3791,10331,11081,"random_multilevel","down",0.15,0.85,0.0,124,14.35350212501362
1,"binned",13233,210,0.0033909999765455723,0.09767483302857727,18.11873604200082,107,91,1866.2998337615234,7418.141151579264,7654.834214901012,3791,10264,11081,"random_multilevel","down",0.15,0.85,0.0,124,32.6240507090115
1,"binned",13233,315,0.0036077910335734487,0.1488179579610005,37.888386207981966,160,136,1866.2998337615234,7418.141151579264,7654.834214901012,3791,10264,11081,"random_multilevel","down",0.15,0.85,0.0,124,70.68634454195853
1,"binned",13233,473,0.00392737501533702,0.2176988339633681,83.52641849999782,241,203,1866.2998337615234,7432.13933806861,7648.452017530604,3791,10267,11072,"random_multilevel","down",0.15,0.85,0.0,124,154.47588199999882
1,"binned",13233,710,0.00441862503066659,0.3297366669867188,191.95890399999917,362,305,1866.2998337615234,7428.165180595436,7653.652183769081,3791,10257,11080,"random_multilevel","down",0.15,0.85,0.0,124,346.7933002089849
1,"binned",13233,1065,0.0048093340010382235,0.5118382499786094,435.5224094580044,543,457,1866.2998337615234,7413.39141604957,7653.652183769081,3791,10237,11080,"random_multilevel","down",0.15,0.85,0.0,124,782.854007166985
2,"babble",13233,1,0.0,0.0,0.0,1,1,1837.6289859452925,1837.6289859452925,1837.6289859452925,3655,3655,3655,"random_multilevel","down",0.15,0.85,0.0,125,782.8906598750036
3,"babble",13233,1,0.0,0.0,0.0,1,1,1841.478615686867,1841.478615686867,1841.478615686867,3763,3763,3763,"random_multilevel","down",0.15,0.85,0.0,126,782.9061144999578
4,"babble",13233,1,0.0,0.0,0.0,1,1,1718.4616895874292,1718.4616895874292,1718.4616895874292,3615,3615,3615,"random_multilevel","down",0.15,0.85,0.0,127,782.9222119589685
5,"babble",13233,1,0.0,0.0,0.0,1,1,1750.584857186035,1750.584857186035,1750.584857186035,3671,3671,3671,"random_multilevel","down",0.15,0.85,0.0,128,782.9379939999781
