"timestamp","k_attrs","cols_json","domain_size","levels_json","probs_json","time_alg1_first_s","num_edges_alg1","time_alg2_s","time_alg4_s","time_alg24_s","q_base_groups","q_star_groups","merges_alg2","utility_q_babble","utility_q_base","utility_q_star","kept_q_babble","kept_q_base","kept_q_star"
"2025-10-10 17:30:59",1,"[""capital_change""]",3,"[0.75, 0.75, 0.5, 0.25]","[0.25, 0.25, 0.25, 0.25]",1.7790996935218573e-05,1,2.5416986318305135e-05,2.766601392067969e-05,5.308300023898482e-05,2,2,1,0.0,0.75,0.75,0,1,1
"2025-10-10 17:30:59",2,"[""capital_change"", ""country_group""]",6,"[0.8571428571428571, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857]","[0.25, 0.25, 0.25, 0.25]",1.9083003280684352e-05,10,2.6374997105449438e-05,0.00013529101852327585,0.0001616660156287253,6,3,0,1.0,0.8571428571428571,1.0,2,1,2
"2025-10-10 17:30:59",3,"[""capital_change"", ""country_group"", ""sex""]",12,"[0.9230769230769231, 0.6923076923076923, 0.46153846153846156, 0.23076923076923078]","[0.25, 0.25, 0.25, 0.25]",5.662499461323023e-05,47,7.583398837596178e-05,0.0006847500044386834,0.0007605839928146452,12,3,0,2.6153846153846154,2.230769230769231,2.6153846153846154,6,4,6
"2025-10-10 17:30:59",4,"[""capital_change"", ""country_group"", ""sex"", ""work_hours_cat""]",36,"[0.972972972972973, 0.7297297297297297, 0.4864864864864865, 0.24324324324324326]","[0.25, 0.25, 0.25, 0.25]",0.0004514580068644136,443,0.0005756659957114607,0.013109042018186301,0.013684708013897762,36,3,0,9.54054054054054,8.432432432432433,9.54054054054054,20,12,20
"2025-10-10 17:31:00",5,"[""capital_change"", ""country_group"", ""sex"", ""work_hours_cat"", ""age_group""]",144,"[0.993103448275862, 0.7448275862068966, 0.496551724137931, 0.2482758620689655]","[0.25, 0.25, 0.25, 0.25]",0.020001791999675333,7098,0.025951791991246864,0.6965275419934187,0.7224793339846656,142,5,2,33.83448275862068,32.648275862068964,41.434482758620696,66,47,66
"2025-10-10 17:32:34",6,"[""capital_change"", ""country_group"", ""sex"", ""work_hours_cat"", ""age_group"", ""race""]",720,"[0.9986130374479889, 0.7489597780859917, 0.49930651872399445, 0.24965325936199723]","[0.25, 0.25, 0.25, 0.25]",0.17230208299588412,177430,0.45184079199680127,93.56119670800399,94.01303750000079,719,113,1,169.78640776699038,181.71567267683773,219.52427184466018,347,260,343
