"kind","n","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star","bias_kind","bias_direction","low","high","jitter","seed","elapsed_s"
"babble",29961,1,0.0,0.0,0.0,1,1,80713.06040985236,80713.06040985236,80713.06040985236,706349,706349,706349,"random_multilevel","down",0.15,0.85,0.0,123,0.0
"binned",29961,2,0.00582687501446344,0.008342499990249053,0.04404775000875816,1,1,80713.06040985236,80713.06040985236,80713.06040985236,706349,706349,706349,"random_multilevel","down",0.15,0.85,0.0,123,0.1335195410065353
"binned",29961,3,0.007420833018841222,0.011850625014631078,0.04593404199113138,1,1,80713.06040985236,80713.06040985236,80713.06040985236,706349,706349,706349,"random_multilevel","down",0.15,0.85,0.0,123,0.2736757080128882
"binned",29961,5,0.008907790994271636,0.017857625003671274,0.044175166985951364,1,1,80713.06040985236,80713.06040985236,80713.06040985236,706349,706349,706349,"random_multilevel","down",0.15,0.85,0.0,123,0.41976429100031964
"binned",29961,8,0.009684999997261912,0.044855874992208555,0.069958999985829,2,2,80713.06040985236,84292.51425138478,84292.51425138478,706349,710194,710194,"random_multilevel","down",0.15,0.85,0.0,123,0.6207058330182917
"binned",29961,12,0.010477540985448286,0.06490212501375936,0.10522224998567253,3,3,80713.06040985236,85719.95858086893,85719.95858086893,706349,711866,711866,"random_multilevel","down",0.15,0.85,0.0,123,0.8756090830138419
"binned",29961,18,0.010539332986809313,0.09586087500792928,0.14751362497918308,4,4,80713.06040985236,85719.95858086893,85719.95858086893,706349,711866,711866,"random_multilevel","down",0.15,0.85,0.0,123,1.203760083008092
"binned",29961,27,0.010867000004509464,0.140812375000678,0.2648161670076661,6,6,80713.06040985236,86265.7483145315,86265.7483145315,706349,712529,712529,"random_multilevel","down",0.15,0.85,0.0,123,1.6952320830023382
"binned",29961,41,0.011180292000062764,0.21195920900208876,0.5091224590141792,9,9,80713.06040985236,86591.49272411695,86591.49272411695,706349,712931,712931,"random_multilevel","down",0.15,0.85,0.0,123,2.502058083016891
"binned",29961,62,0.011151124985190108,0.3165297920058947,0.9735264590126462,13,13,80713.06040985236,86555.23800146829,86555.23800146829,706349,712886,712886,"random_multilevel","down",0.15,0.85,0.0,123,3.8787077500019222
"binned",29961,93,0.010832875006599352,0.47425145900342613,1.9619941250130069,19,19,80713.06040985236,86555.23800146829,86555.23800146829,706349,712886,712886,"random_multilevel","down",0.15,0.85,0.0,123,6.406263291020878
"binned",29961,140,0.011898750002728775,0.7344515419972595,4.19959266600199,28,28,80713.06040985236,86544.74924904855,86544.74924904855,706349,712873,712873,"random_multilevel","down",0.15,0.85,0.0,123,11.421714041003725
"binned",29961,210,0.011162249982589856,1.0667778339993674,9.297330500005046,42,42,80713.06040985236,86593.10239636847,86593.10239636847,706349,712933,712933,"random_multilevel","down",0.15,0.85,0.0,123,21.864658875012537
"binned",29961,315,0.010896457999479026,1.610478917020373,19.440990540984785,63,63,80713.06040985236,87031.99859822405,87031.99859822405,706349,713479,713479,"random_multilevel","down",0.15,0.85,0.0,123,42.99445616599405
"binned",29961,473,0.011410582985263318,2.423580333008431,43.425938166008564,95,95,80713.06040985236,87084.1565316063,87084.1565316063,706349,713544,713544,"random_multilevel","down",0.15,0.85,0.0,123,88.92811429101857
"binned",29961,710,0.012268958002096042,3.7972860840091016,100.5197090000147,142,142,80713.06040985236,87082.55390160832,87082.55390160832,706349,713542,713542,"random_multilevel","down",0.15,0.85,0.0,123,193.32666054100264
"binned",29961,1065,0.01358887497917749,6.743904417002341,226.67427687498275,213,213,80713.06040985236,87096.97390027328,87096.97390027328,706349,713560,713560,"random_multilevel","down",0.15,0.85,0.0,123,426.8305081250146
"binned",29961,1598,0.014413084019906819,8.968198875023518,502.29002420799225,320,320,80713.06040985236,87174.61744876804,87174.61744876804,706349,713657,713657,"random_multilevel","down",0.15,0.85,0.0,123,938.1738852910057
