"kind","n","bin_size","bins_count","time_alg1_s","time_alg2_s","time_alg4_s","q_base_groups","q_star_groups","utility_babble","utility_base","utility_star","kept_babble","kept_base","kept_star"
"babble",240,0,1,"","","",1,1,59.02489626556024,59.02489626556024,59.02489626556024,124,124,124
"full",240,1,240,"",0.09728008299134672,2.333897625008831,237,46,59.02489626556024,91.06639004149376,105.33609958506223,124,137,168
"binned",240,60,4,"",0.02038920798804611,0.0014237910218071193,4,4,59.02489626556024,92.99170124481327,92.99170124481327,124,137,137
"binned",240,40,6,"",0.03247025000746362,0.0025794589892029762,6,4,59.02489626556024,88.81327800829877,95.79253112033197,124,134,154
"binned",240,24,10,"",0.025465292012086138,0.004706165986135602,10,6,59.02489626556024,86.78423236514526,98.36099585062242,124,134,156
"binned",240,12,20,"",0.038762542011681944,0.009294624993344769,19,6,59.02489626556024,90.85062240663899,101.61410788381743,124,137,161
"binned",240,6,40,"",0.0179228330089245,0.04165508400183171,40,10,59.02489626556024,90.71784232365144,104.29875518672198,124,136,166
"binned",240,4,60,"",0.017633792012929916,0.09729616600088775,60,12,59.02489626556024,90.71784232365144,104.82157676348547,124,136,167
"binned",240,2,120,"",0.018302875017980114,0.43161187498481013,120,22,59.02489626556024,90.71784232365144,105.33609958506223,124,136,168
